Label,Time,XPos,YPos,ZPos,XRot,YRot,ZRot
Head,81.34,-0.01138481,1.592816,-7.828949,17.65518,357.6921,0.8820508
Head,81.58,-0.008868944,1.606697,-7.835187,14.04778,0.08439376,2.515511
Head,81.8,-0.01416296,1.609088,-7.835312,14.07209,356.1491,2.20327
Head,82.04,-0.01561611,1.608002,-7.836847,14.10028,355.7009,0.8748252
Head,82.25999,-0.01414812,1.60853,-7.838834,14.87939,355.5664,359.7025
Head,82.5,-0.008215147,1.613145,-7.8453,15.65125,359.5479,357.9873
Head,82.72,0.002628703,1.624152,-7.851777,13.95225,7.476082,356.5999
Head,82.93999,0.007785399,1.628417,-7.856496,12.31107,12.02983,356.7705
Head,83.16,0.003428881,1.63237,-7.862192,11.88729,12.66873,356.0464
Head,83.4,-0.000206057,1.632305,-7.861715,11.77661,12.9763,356.5707
Head,83.64,-0.002026297,1.631259,-7.861619,12.03727,12.1434,356.7549
Head,83.86,-0.001753539,1.631208,-7.860301,12.17655,12.2652,356.3513
